Market Name,Store Name,Bin Location,Provider,Description,Part Number,Store Part ID,Part ID,UPC,Parts Quantity,Most Recent Cost,Weighted Average Cost,Last Ordered Date,Last Used Date,Days Since Last Interaction,Total Cost Store Parts
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CAB7DR8,BULK - IMPACT SOCKET STANDARD,"IMPACT SOCKET 1/2"" DR X 1-7/16"" STD",740-3107,1013704,129802,0,58,$9.00,$11.06,2024-12-28,2024-12-29,51,$641.71
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,KC30,BULK - RIGGING SLING POLYESTER,"SLING POLYESTER EYE2EYE 2 PLY 2"" X 8'",747-2209,1014674,4130031,0,58,$10.75,$14.87,2024-12-31,2024-08-30,172,$862.46
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CAB1DR8 * CAB1DR9,EAGLE TAPTEK,"Black and Gold, 135º Split Point - 29 Piece Set: 1/16” - 1/2” by 64ths			",TAP50D29-I,1056922,1550809,0,58,$34.95,$34.95,2025-02-17,1899-12-31,1,"$2,027.10"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,IC20,BULK - WRENCH COMBINATION STANDARD,"COMBINATION WRENCH 9/16""",744-5009,684500,135628,0,58,$7.11,$11.57,2024-12-30,2024-08-30,172,$670.95
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,GD10-Conf,BULK - WRENCH CROWFOOT,"CROWFOOT WRENCH 3/8"" DR X 7/8""",744-9604,684020,136066,0,58,$21.61,$22.24,2024-12-27,2024-08-30,172,"$1,289.95"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,BA20,CS UNITEC,"Hacksaw Blade 12"" SL, 16 TPI (stainless steel)",Z22-6 HSS-SL,687154,50778,0,57,$6.54,$7.57,2024-12-29,2024-12-27,53,$431.56
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,IC20,BULK - WRENCH COMBINATION STANDARD,"COMBINATION WRENCH  1-1/8""",744-5102,684275,135637,0,57,$35.53,$32.97,2025-02-04,2024-12-27,53,"$1,879.51"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,KC20,BULK - RIGGING SLING NYLON,"SLING NYLON EYE2EYE 2 PLY 2"" X 12'",747-2212,683986,3690395,0,56,$20.60,$19.44,2024-12-31,2024-12-27,53,"$1,088.60"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,IA30 * HB30 * HA30 * IB30 * LE10,BULK - POWER EXTENSION CORD,CABLE EXTENSION CORD 50',500-1050,684371,115064,0,56,$29.45,$30.52,2025-02-04,2024-08-30,172,"$1,709.01"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,DE30,GENERAL WORK PRODUCTS,2XL WHITE DISPOSABLE COVERALL- EA,PPCW16002XL-EA,684658,3691106,0,56,$2.20,$2.20,2024-12-30,2024-12-27,53,$123.20
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CAB4DR4,EAGLE TAPTEK,SA-5 (1/2) CYL END S/C D/C BURR USA,CB-SA-5-D,1222439,2035412,0,55,$10.12,$10.32,2025-02-04,1899-12-31,14,$567.35
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,JE10,BULK - IMPACT SOCKET STANDARD,"IMPACT SOCKET 1/2"" DR X 1-5/16"" STD",740-3105,1069897,129800,0,55,$8.00,$9.84,2025-01-07,2024-12-31,49,$541.02
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,ID15,BULK - HAMMER WRENCH OFFSET,"HAMMER WRENCH  1-5/8"" OFFSET",744-2110,684271,135371,0,55,$29.00,$45.89,2025-02-04,2024-12-30,50,"$2,524.15"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,BF20,ZORO,"LED Bulb, A19,3000K, 480 lm, 6W, G7249229",LED6DA19/830,1057750,2053732,0,55,$5.12,$5.18,2024-12-27,1899-12-31,53,$284.75
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,KC10,BULK - WRENCH BACKUP,"BACKUP WRENCH MAGNETIC 1-13/16"" HEX 46MM",744-9813,684278,2054044,0,55,$165.75,$182.73,2024-12-18,1899-12-31,62,"$10,050.36"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CAB7DR2,BULK - IMPACT SOCKET STANDARD,"IMPACT SOCKET 1/2"" DR X 3/4"" STD",740-3012,683999,129791,0,54,$6.16,$6.23,2024-12-29,1899-12-31,51,$336.56
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,0,TECHNIWELD,"Female 2AF Terminal Lug (Bag, 1 per Pack, Sold by the Lug)",RTP2AF,1224970,4163846,0,54,$8.53,$8.53,2025-02-04,1899-12-31,14,$460.60
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,JB15,BULK - RIGGING SHACKLE,SHACKLE 4-3/4 TON,746-4008,684202,137359,0,54,$15.88,$27.21,2025-01-15,2024-12-27,53,"$1,469.38"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,DD20,TINGLEY,Lightweight Magnaprene™ is single coated neoprene on nylon Overalls,O12008-L,838942,3977214,081138800236,54,$34.75,$34.75,2024-12-30,2024-12-27,53,"$1,876.50"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,DD20,TINGLEY,(40) Tingley OD Rain BIB FR 2XL,O12008-2XL,1181226,3689632,081138800250,54,$35.71,$35.71,2024-12-27,1899-12-31,53,"$1,928.34"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,IE25,BULK - WRENCH COMBINATION STANDARD,"COMBINATION WRENCH  1-5/16""",744-5105,684365,135640,0,53,$43.43,$44.25,2025-02-04,2024-12-27,53,"$2,345.45"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,GD10,BULK - WRENCH CROWFOOT,"CROWFOOT WRENCH 1/2"" DR X 1-1/16""",744-9624,847008,88732,0,53,$25.75,$28.84,2024-12-27,2024-11-02,108,"$1,528.77"
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,JF10,BULK - IMPACT SOCKET DEEP,"IMPACT SOCKET 3/4"" DR X 1"" DW",741-4100,1181529,133550,0,53,$17.73,$17.73,2024-12-30,1899-12-31,50,$939.69
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,CAB8DR4*ETCH,BULK - IMPACT SOCKET STANDARD,"IMPACT SOCKET 3/8"" DR X 9/16"" STD",740-2009,1013700,129777,0,53,$3.59,$3.74,2024-12-30,2024-12-29,51,$198.22
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,AA20,CRC INDUSTRIES,"Gasket Remover, 16 oz Aerosol Can, Solvent Odor",03017,1114580,5870264,0,52,$10.11,$10.29,2024-11-20,1899-12-31,90,$535.07
Mobile Tool Trailer Warehouse,Mobile Tool Trailer Warehouse,JE15,BULK - IMPACT SOCKET STANDARD,"IMPACT SOCKET 3/4"" DR X 1-7/8"" STD",740-4114,684312,129827,0,52,$19.00,$19.21,2024-12-18,2024-12-27,53,$998.71
